0600:,0601:,0602:,2966:,0611:,8002:,2861:,1231:,0607:,0605:,2968:,2969:,2970:,2971:,2972:,2973:,2974:,2975:,2976:,3070:,3071:,3072:,3073:,3074:,3075:,0604:,0613:,0620:,2979:,0615:,0674:,0618:,0619:,0614:,0616:,0623:
8,4,310026,3,2,000048,20241213,637068,0,0,20241212,041246,20241212,044550,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,11600,0,1,1,720,0,0,0,229,165,0
8,4,310026,3,2,000048,20241213,637065,0,0,20241212,041246,20241212,044527,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,12000,0,3,1,720,0,0,0,766,552,0
8,4,310026,3,2,000048,20241213,637071,0,0,20241212,041246,20241212,044612,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,12600,0,2,1,720,0,0,0,538,387,0
8,4,310026,3,2,000048,20241213,637062,0,0,20241212,041246,20241212,044447,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,13300,0,2,1,720,0,0,0,467,337,0
8,4,310026,3,2,000048,20241213,636968,0,0,20241212,041246,20241212,043206,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,20400,0,4,1,720,0,0,0,1004,723,0
8,4,310026,3,2,000048,20241213,637011,0,0,20241212,041246,20241212,043617,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,20900,0,2,1,720,0,0,0,450,324,0
8,4,310026,3,2,000048,20241213,637051,0,0,20241212,041246,20241212,044304,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,21100,0,3,1,720,0,0,0,736,529,0
8,4,310026,3,2,000048,20241213,636986,0,0,20241212,041246,20241212,043420,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,21400,0,3,1,720,0,0,0,807,581,0
8,4,310026,3,2,000048,20241213,637017,0,0,20241212,041246,20241212,043732,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,21900,0,4,1,720,0,0,0,955,687,0
8,4,310026,3,2,000048,20241213,637014,0,0,20241212,041246,20241212,043712,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,22700,0,1,1,720,0,0,0,242,174,0
8,4,310026,3,2,000048,20241213,637045,0,0,20241212,041246,20241212,044235,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,23800,0,1,1,720,0,0,0,286,206,0
8,4,310026,3,2,000048,20241213,636907,0,0,20241212,041246,20241212,042334,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,23900,0,2,1,720,0,0,0,479,345,0
8,4,310026,3,2,000048,20241213,636906,0,0,20241212,041246,20241212,042329,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,24200,0,3,1,720,0,0,0,766,552,0
8,4,310026,3,2,000048,20241213,637077,0,0,20241212,041246,20241212,044707,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,24300,0,2,1,720,0,0,0,563,406,0
8,4,310026,3,2,000048,20241213,637012,0,0,20241212,041246,20241212,043621,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,24800,0,1,1,720,0,0,0,296,213,0
8,4,310026,3,2,000048,20241213,636909,0,0,20241212,041246,20241212,042341,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,25800,0,2,1,720,0,0,0,525,378,0
8,4,310026,3,2,000048,20241213,636905,0,0,20241212,041246,20241212,042321,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,26900,0,2,1,720,0,0,0,552,397,0
8,4,310026,3,2,000048,20241213,637000,0,0,20241212,041246,20241212,043531,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,27300,0,3,1,720,0,0,0,682,491,0
8,4,310026,3,2,000048,20241213,637091,0,0,20241212,044958,20241212,045012,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,28600,0,1,1,720,0,0,0,282,203,0
8,4,310026,3,2,000048,20241213,636859,0,0,20241212,041246,20241212,041333,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,28600,0,2,1,720,0,0,0,449,324,0
8,4,310026,3,2,000048,20241213,636899,0,0,20241212,041246,20241212,042245,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,30100,0,2,1,720,0,0,0,473,340,0
8,4,310026,3,2,000048,20241213,636960,0,0,20241212,041246,20241212,043053,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,30300,0,1,1,720,0,0,0,266,192,0
8,4,310026,3,2,000048,20241213,636995,0,0,20241212,041246,20241212,043510,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,30400,0,1,1,720,0,0,0,224,161,0
8,4,310026,3,2,000048,20241213,636981,0,0,20241212,041246,20241212,043344,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,30500,0,5,1,720,0,0,0,1335,962,0
8,4,310026,3,2,000048,20241213,636856,0,0,20241212,041246,20241212,041318,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,31000,0,2,1,720,0,0,0,499,359,0
8,4,310026,3,2,000048,20241213,637088,0,0,20241212,044958,20241212,045005,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,31000,0,1,1,720,0,0,0,218,157,0
8,4,310026,3,2,000048,20241213,636864,0,0,20241212,041246,20241212,041359,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,31200,0,1,1,720,0,0,0,259,186,0
8,4,310026,3,2,000048,20241213,636901,0,0,20241212,041246,20241212,042257,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,31300,0,1,1,720,0,0,0,245,176,0
8,4,310026,3,2,000048,20241213,637004,0,0,20241212,041246,20241212,043551,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,32400,0,2,1,720,0,0,0,506,365,0
8,4,310026,3,2,000048,20241213,636919,0,0,20241212,041246,20241212,042502,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,32500,0,3,1,720,0,0,0,790,569,0
8,4,310026,3,2,000048,20241213,637015,0,0,20241212,041246,20241212,043714,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,33300,0,1,1,720,0,0,0,243,175,0
8,4,310026,3,2,000048,20241213,636898,0,0,20241212,041246,20241212,042240,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,33800,0,3,1,720,0,0,0,745,537,0
8,4,310026,3,2,000048,20241213,636920,0,0,20241212,041246,20241212,042509,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,34000,0,3,1,720,0,0,0,749,540,0
8,4,310026,3,2,000048,20241213,637010,0,0,20241212,041246,20241212,043612,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,34500,0,1,1,720,0,0,0,261,188,0
8,4,310026,3,2,000048,20241213,636967,0,0,20241212,041246,20241212,043139,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,34800,0,4,1,720,0,0,0,956,688,0
8,4,310026,3,2,000048,20241213,636978,0,0,20241212,041246,20241212,043326,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,34900,0,1,1,720,0,0,0,266,192,0
8,4,310026,3,2,000048,20241213,636926,0,0,20241212,041246,20241212,042548,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,35000,0,3,1,720,0,0,0,764,551,0
8,4,310026,3,2,000048,20241213,636930,0,0,20241212,041246,20241212,042631,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,35100,0,4,1,720,0,0,0,1026,740,0
8,4,310026,3,2,000048,20241213,637008,0,0,20241212,041246,20241212,043604,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,35200,0,1,1,720,0,0,0,247,178,0
8,4,310026,3,2,000048,20241213,637009,0,0,20241212,041246,20241212,043611,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,35300,0,2,1,720,0,0,0,524,377,0
8,4,310026,3,2,000048,20241213,636863,0,0,20241212,041246,20241212,041356,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,35600,0,2,1,720,0,0,0,517,372,0
8,4,310026,3,2,000048,20241213,636865,0,0,20241212,041246,20241212,041401,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,35700,0,1,1,720,0,0,0,244,176,0
8,4,310026,3,2,000048,20241213,636923,0,0,20241212,041246,20241212,042528,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,35800,0,3,1,720,0,0,0,759,547,0
8,4,310026,3,2,000048,20241213,636869,0,0,20241212,041246,20241212,041619,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,36500,0,2,1,720,0,0,0,475,342,0
8,4,310026,3,2,000048,20241213,636980,0,0,20241212,041246,20241212,043330,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,36600,0,1,1,720,0,0,0,246,177,0
8,4,310026,3,2,000048,20241213,636857,0,0,20241212,041246,20241212,041323,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,37100,0,2,1,720,0,0,0,411,296,0
8,4,310026,3,2,000048,20241213,637089,0,0,20241212,044958,20241212,045006,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,37100,0,1,1,720,0,0,0,250,180,0
8,4,310026,3,2,000048,20241213,636895,0,0,20241212,041246,20241212,042218,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,37400,0,1,1,720,0,0,0,219,158,0
8,4,310026,3,2,000048,20241213,636963,0,0,20241212,041246,20241212,043104,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,37600,0,1,1,720,0,0,0,239,172,0
8,4,310026,3,2,000048,20241213,637005,0,0,20241212,041246,20241212,043556,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,37700,0,2,1,720,0,0,0,564,406,0
8,4,310026,3,2,000048,20241213,636998,0,0,20241212,041246,20241212,043520,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,38000,0,2,1,720,0,0,0,519,374,0
8,4,310026,3,2,000048,20241213,636867,0,0,20241212,041246,20241212,041414,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,38100,0,2,1,720,0,0,0,597,430,0
8,4,310026,3,2,000048,20241213,636861,0,0,20241212,041246,20241212,041345,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,38300,0,3,1,720,0,0,0,691,497,0
8,4,310026,3,2,000048,20241213,637093,0,0,20241212,044958,20241212,045018,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,38300,0,1,1,720,0,0,0,307,221,0
8,4,310026,3,2,000048,20241213,636997,0,0,20241212,041246,20241212,043514,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,38600,0,1,1,720,0,0,0,228,164,0
8,4,310026,3,2,000048,20241213,636977,0,0,20241212,041246,20241212,043307,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,38700,0,2,1,720,0,0,0,564,406,0
8,4,310026,3,2,000048,20241213,637044,0,0,20241212,041246,20241212,044233,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,38900,0,4,1,720,0,0,0,1036,747,0
8,4,310026,3,2,000048,20241213,636893,0,0,20241212,041246,20241212,042213,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,39000,0,2,1,720,0,0,0,501,360,0
8,4,310026,3,2,000048,20241213,636982,0,0,20241212,041246,20241212,043346,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,39100,0,1,1,720,0,0,0,266,192,0
8,4,310026,3,2,000048,20241213,636855,0,0,20241212,041246,20241212,041313,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,39200,0,2,1,720,0,0,0,500,360,0
8,4,310026,3,2,000048,20241213,637087,0,0,20241212,044958,20241212,045002,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,39200,0,1,1,720,0,0,0,267,192,0
8,4,310026,3,2,000048,20241213,637013,0,0,20241212,041246,20241212,043709,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,39700,0,3,1,720,0,0,0,710,511,0
8,4,310026,3,2,000048,20241213,636929,0,0,20241212,041246,20241212,042621,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,39800,0,3,1,720,0,0,0,785,565,0
8,4,310026,3,2,000048,20241213,636911,0,0,20241212,041246,20241212,042354,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,40100,0,1,1,720,0,0,0,301,217,0
8,4,310026,3,2,000048,20241213,636948,0,0,20241212,041246,20241212,042943,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,40400,0,2,1,720,0,0,0,474,341,0
8,4,310026,3,2,000048,20241213,637026,0,0,20241212,041246,20241212,044059,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,40600,0,2,1,720,0,0,0,498,358,0
8,4,310026,3,2,000048,20241213,636989,0,0,20241212,041246,20241212,043438,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,40800,0,1,1,720,0,0,0,207,149,0
8,4,310026,3,2,000048,20241213,636910,0,0,20241212,041246,20241212,042352,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,40900,0,4,1,720,0,0,0,964,694,0
8,4,310026,3,2,000048,20241213,637054,0,0,20241212,041246,20241212,044316,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,41000,0,2,1,720,0,0,0,470,339,0
8,4,310026,3,2,000048,20241213,637021,0,0,20241212,041246,20241212,044031,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,41100,0,3,1,720,0,0,0,736,530,0
8,4,310026,3,2,000048,20241213,637057,0,0,20241212,041246,20241212,044327,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,41500,0,2,1,720,0,0,0,499,359,0
8,4,310026,3,2,000048,20241213,636914,0,0,20241212,041246,20241212,042433,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,41700,0,2,1,720,0,0,0,537,387,0
8,4,310026,3,2,000048,20241213,636974,0,0,20241212,041246,20241212,043251,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,41800,0,1,1,720,0,0,0,249,179,0
8,4,310026,3,2,000048,20241213,636917,0,0,20241212,041246,20241212,042450,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,42100,0,1,1,720,0,0,0,231,166,0
8,4,310026,3,2,000048,20241213,637032,0,0,20241212,041246,20241212,044129,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,42200,0,2,1,720,0,0,0,538,388,0
8,4,310026,3,2,000048,20241213,637025,0,0,20241212,041246,20241212,044053,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,42400,0,2,1,720,0,0,0,501,361,0
8,4,310026,3,2,000048,20241213,636970,0,0,20241212,041246,20241212,043231,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,42500,0,4,1,720,0,0,0,1026,738,0
8,4,310026,3,2,000048,20241213,636883,0,0,20241212,041246,20241212,042001,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,42600,0,2,1,720,0,0,0,587,423,0
8,4,310026,3,2,000048,20241213,637019,0,0,20241212,041246,20241212,044018,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,42700,0,2,1,720,0,0,0,507,365,0
8,4,310026,3,2,000048,20241213,636952,0,0,20241212,041246,20241212,043002,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,42800,0,2,1,720,0,0,0,543,391,0
8,4,310026,3,2,000048,20241213,636885,0,0,20241212,041246,20241212,042018,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,42900,0,5,1,720,0,0,0,1329,957,0
8,4,310026,3,2,000048,20241213,636950,0,0,20241212,041246,20241212,042955,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,43000,0,2,1,720,0,0,0,470,339,0
8,4,310026,3,2,000048,20241213,636957,0,0,20241212,041246,20241212,043039,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,43100,0,3,1,720,0,0,0,702,505,0
8,4,310026,3,2,000048,20241213,636947,0,0,20241212,041246,20241212,042938,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,43200,0,3,1,720,0,0,0,729,525,0
8,4,310026,3,2,000048,20241213,636878,0,0,20241212,041246,20241212,041702,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,43300,0,1,1,720,0,0,0,266,192,0
8,4,310026,3,2,000048,20241213,636918,0,0,20241212,041246,20241212,042455,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,43400,0,2,1,720,0,0,0,548,395,0
8,4,310026,3,2,000048,20241213,636951,0,0,20241212,041246,20241212,042957,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,43500,0,1,1,720,0,0,0,236,170,0
8,4,310026,3,2,000048,20241213,636874,0,0,20241212,041246,20241212,041643,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,43800,0,2,1,720,0,0,0,484,349,0
8,4,310026,3,2,000048,20241213,636876,0,0,20241212,041246,20241212,041655,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,44000,0,1,1,720,0,0,0,273,197,0
8,4,310026,3,2,000048,20241213,636949,0,0,20241212,041246,20241212,042950,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,44100,0,3,1,720,0,0,0,735,529,0
8,4,310026,3,2,000048,20241213,636990,0,0,20241212,041246,20241212,043443,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,44200,0,2,1,720,0,0,0,438,316,0
8,4,310026,3,2,000048,20241213,636875,0,0,20241212,041246,20241212,041653,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,44300,0,4,1,720,0,0,0,986,710,0
8,4,310026,3,2,000048,20241213,636994,0,0,20241212,041246,20241212,043508,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,44600,0,4,1,720,0,0,0,1041,750,0
8,4,310026,3,2,000048,20241213,636955,0,0,20241212,041246,20241212,043026,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,44700,0,3,1,720,0,0,0,728,524,0
8,4,310026,3,2,000048,20241213,636915,0,0,20241212,041246,20241212,042443,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,44800,0,4,1,720,0,0,0,1062,764,0
8,4,310026,3,2,000048,20241213,636879,0,0,20241212,041246,20241212,041705,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,44900,0,1,1,720,0,0,0,268,193,0
8,4,310026,3,2,000048,20241213,636991,0,0,20241212,041246,20241212,043450,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,45000,0,3,1,720,0,0,0,733,528,0
8,4,310026,3,2,000048,20241213,637059,0,0,20241212,041246,20241212,044339,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,45100,0,1,1,720,0,0,0,228,164,0
8,4,310026,3,2,000048,20241213,636880,0,0,20241212,041246,20241212,041707,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,45200,0,1,1,720,0,0,0,248,179,0
8,4,310026,3,2,000048,20241213,636882,0,0,20241212,041246,20241212,041957,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,45400,0,3,1,720,0,0,0,797,574,0
8,4,310026,3,2,000048,20241213,637023,0,0,20241212,041246,20241212,044044,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,45600,0,3,1,720,0,0,0,723,521,0
8,4,310026,3,2,000048,20241213,636946,0,0,20241212,041246,20241212,042932,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,45800,0,5,1,720,0,0,0,1244,895,0
8,4,310026,3,2,000048,20241213,637060,0,0,20241212,041246,20241212,044437,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,45900,0,2,1,720,0,0,0,521,375,0
8,4,310026,3,2,000048,20241213,636975,0,0,20241212,041246,20241212,043253,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,46100,0,1,1,720,0,0,0,278,200,0
8,4,310026,3,2,000048,20241213,637029,0,0,20241212,041246,20241212,044111,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,46200,0,2,1,720,0,0,0,497,358,0
8,4,310026,3,2,000048,20241213,637020,0,0,20241212,041246,20241212,044025,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,46300,0,1,1,720,0,0,0,255,184,0
8,4,310026,3,2,000048,20241213,637028,0,0,20241212,041246,20241212,044106,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,46400,0,1,1,720,0,0,0,285,205,0
8,4,310026,3,2,000048,20241213,636988,0,0,20241212,041246,20241212,043435,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,46600,0,3,1,720,0,0,0,768,553,0
8,4,310026,3,2,000048,20241213,636969,0,0,20241212,041246,20241212,043222,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,46700,0,5,1,720,0,0,0,1263,910,0
8,4,310026,3,2,000048,20241213,637024,0,0,20241212,041246,20241212,044049,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,46800,0,2,1,720,0,0,0,437,315,0
8,4,310026,3,2,000048,20241213,636953,0,0,20241212,041246,20241212,043010,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,47000,0,3,1,720,0,0,0,725,522,0
8,4,310026,3,2,000048,20241213,637048,0,0,20241212,041246,20241212,044248,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,47100,0,2,1,720,0,0,0,490,353,0
8,4,310026,3,2,000048,20241213,637022,0,0,20241212,041246,20241212,044036,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,47200,0,2,1,720,0,0,0,399,288,0
8,4,310026,3,2,000048,20241213,637058,0,0,20241212,041246,20241212,044335,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,47300,0,3,1,720,0,0,0,770,555,0
8,4,310026,3,2,000048,20241213,636877,0,0,20241212,041246,20241212,041700,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,47400,0,2,1,720,0,0,0,521,375,0
8,4,310026,3,2,000048,20241213,637030,0,0,20241212,041246,20241212,044119,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,47500,0,3,1,720,0,0,0,738,531,0
8,4,310026,3,2,000048,20241213,636971,0,0,20241212,041246,20241212,043239,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,47600,0,2,1,720,0,0,0,521,375,0
8,4,310026,3,2,000048,20241213,636987,0,0,20241212,041246,20241212,043429,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,47700,0,4,1,720,0,0,0,1009,726,0
8,4,310026,3,2,000048,20241213,637074,0,0,20241212,041246,20241212,044646,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,47800,0,1,1,720,0,0,0,285,205,0
8,4,310026,3,2,000048,20241213,637050,0,0,20241212,041246,20241212,044256,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,48000,0,2,1,720,0,0,0,548,394,0
8,4,310026,3,2,000048,20241213,637082,0,0,20241212,041246,20241212,044801,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,48200,0,2,1,720,0,0,0,503,362,0
8,4,310026,3,2,000048,20241213,637016,0,0,20241212,041246,20241212,043722,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,48300,0,3,1,720,0,0,0,742,534,0
8,4,310026,3,2,000048,20241213,637080,0,0,20241212,041246,20241212,044749,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,48600,0,2,1,720,0,0,0,528,380,0
8,4,310026,3,2,000048,20241213,636944,0,0,20241212,041246,20241212,042912,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,48700,0,2,1,720,0,0,0,497,357,0
8,4,310026,3,2,000048,20241213,637086,0,0,20241212,041246,20241212,044856,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,48800,0,1,1,720,0,0,0,286,206,0
8,4,310026,3,2,000048,20241213,637075,0,0,20241212,041246,20241212,044648,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,48900,0,1,1,720,0,0,0,266,192,0
8,4,310026,3,2,000048,20241213,637081,0,0,20241212,041246,20241212,044756,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,49000,0,3,1,720,0,0,0,772,556,0
8,4,310026,3,2,000048,20241213,637079,0,0,20241212,041246,20241212,044719,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,49200,0,3,1,720,0,0,0,768,554,0
8,4,310026,3,2,000048,20241213,637027,0,0,20241212,041246,20241212,044104,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,49300,0,2,1,720,0,0,0,589,424,0
8,4,310026,3,2,000048,20241213,637084,0,0,20241212,041246,20241212,044832,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,49400,0,2,1,720,0,0,0,532,383,0
8,4,310026,3,2,000048,20241213,637078,0,0,20241212,041246,20241212,044712,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,49500,0,2,1,720,0,0,0,467,336,0
8,4,310026,3,2,000048,20241213,637037,0,0,20241212,041246,20241212,044156,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,250700,0,2,1,720,0,0,0,527,379,0
8,4,310026,3,2,000048,20241213,637018,0,0,20241212,041246,20241212,043839,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,251100,0,2,1,720,0,0,0,483,348,0
8,4,310026,3,2,000048,20241213,636866,0,0,20241212,041246,20241212,041408,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,251200,0,2,1,720,0,0,0,517,372,0
8,4,310026,3,2,000048,20241213,637052,0,0,20241212,041246,20241212,044309,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,251500,0,2,1,720,0,0,0,523,377,0
8,4,310026,3,2,000048,20241213,637001,0,0,20241212,041246,20241212,043536,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,251600,0,2,1,720,0,0,0,517,372,0
8,4,310026,3,2,000048,20241213,636938,0,0,20241212,041246,20241212,042743,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,251800,0,4,1,720,0,0,0,944,679,0
8,4,310026,3,2,000048,20241213,636870,0,0,20241212,041246,20241212,041624,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,252700,0,2,1,720,0,0,0,574,413,0
8,4,310026,3,2,000048,20241213,636871,0,0,20241212,041246,20241212,041626,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,253100,0,1,1,720,0,0,0,260,187,0
8,4,310026,3,2,000048,20241213,637049,0,0,20241212,041246,20241212,044250,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,253700,0,1,1,720,0,0,0,266,192,0
8,4,310026,3,2,000048,20241213,637038,0,0,20241212,041246,20241212,044203,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,254800,0,3,1,720,0,0,0,736,530,0
8,4,310026,3,2,000048,20241213,637046,0,0,20241212,041246,20241212,044237,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,255000,0,1,1,720,0,0,0,245,176,0
8,4,310026,3,2,000048,20241213,636873,0,0,20241212,041246,20241212,041638,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,255600,0,2,1,720,0,0,0,519,373,0
8,4,310026,3,2,000048,20241213,637085,0,0,20241212,041246,20241212,044838,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,255900,0,2,1,720,0,0,0,579,417,0
8,4,310026,3,2,000048,20241213,637035,0,0,20241212,041246,20241212,044146,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,300000,0,2,1,720,0,0,0,489,352,0
8,4,310026,3,2,000048,20241213,636900,0,0,20241212,041246,20241212,042255,0,7,000048,B3218,,20241212,0000,20241214,1200,,0000,300200,0,4,1,720,0,0,0,974,702,0
