11:47:42 步驟 : 4 GUID : 01B62094-27CB-4C7F-80DD-F6CC9C4D0BEC 訊息 : args[0] = 172.20.8.233 ， args[1] = 01B62094-27CB-4C7F-80DD-F6CC9C4D0BEC ， args[2] = 4 ， args[3] = 243460101，args[4] = 243280101，args[4] = a0a56f54-7acc-42cb-b47e-2a43f8aac0ea
11:47:44^4^違反 PRIMARY KEY 條件約束 'PK_UDI_ORDER_1'。無法在物件 'ftp.UDI_ORDER' 中插入重複的索引鍵。重複的索引鍵值是 (01b62094-27cb-4c7f-80dd-f6cc9c4d0bec)。
違反 PRIMARY KEY 條件約束 'PK_UDI_PUT_1'。無法在物件 'ftp.UDI_PUT' 中插入重複的索引鍵。重複的索引鍵值是 (01b62094-27cb-4c7f-80dd-f6cc9c4d0bec, 1)。
陳述式已經結束。
陳述式已經結束。
11:47:44 步驟 : 4 GUID : 01B62094-27CB-4C7F-80DD-F6CC9C4D0BEC 訊息 : Cannot find table 0.
11:49:38 步驟 : 4 GUID : 01B62094-27CB-4C7F-80DD-F6CC9C4D0BEC 訊息 : args[0] = 172.20.8.233 ， args[1] = 01B62094-27CB-4C7F-80DD-F6CC9C4D0BEC ， args[2] = 4 ， args[3] = 243460101，args[4] = 243280101，args[4] = a0a56f54-7acc-42cb-b47e-2a43f8aac0ea
11:49:39^4^違反 PRIMARY KEY 條件約束 'PK_UDI_ORDER_1'。無法在物件 'ftp.UDI_ORDER' 中插入重複的索引鍵。重複的索引鍵值是 (01b62094-27cb-4c7f-80dd-f6cc9c4d0bec)。
違反 PRIMARY KEY 條件約束 'PK_UDI_PUT_1'。無法在物件 'ftp.UDI_PUT' 中插入重複的索引鍵。重複的索引鍵值是 (01b62094-27cb-4c7f-80dd-f6cc9c4d0bec, 1)。
陳述式已經結束。
陳述式已經結束。
11:49:39 步驟 : 4 GUID : 01B62094-27CB-4C7F-80DD-F6CC9C4D0BEC 訊息 : Cannot find table 0.
11:50:17 步驟 : 4 GUID : 101EF554-7075-4BAA-A8CA-6A729514FA89 訊息 : args[0] = 172.20.8.233 ， args[1] = 101EF554-7075-4BAA-A8CA-6A729514FA89 ， args[2] = 4 ， args[3] = 243460101，args[4] = 243280101，args[4] = a0a56f54-7acc-42cb-b47e-2a43f8aac0ea
11:50:18 步驟 : 4 GUID : 101EF554-7075-4BAA-A8CA-6A729514FA89 訊息 :  PC<->172.20.8.233
11:50:18 步驟 : 4 GUID : 101EF554-7075-4BAA-A8CA-6A729514FA89 訊息 : 產生 ISHIDA_SFD002.csv.tmp
11:50:18 步驟 : 4 GUID : 101EF554-7075-4BAA-A8CA-6A729514FA89 訊息 : 產生 ISHIDA_SFD002.csv.tmp 共花費:0 秒
11:50:18 步驟 : 4 GUID : 101EF554-7075-4BAA-A8CA-6A729514FA89 訊息 :  ISHIDA_SFD002.csv 上傳成功
11:50:19 步驟 : 4 GUID : 101EF554-7075-4BAA-A8CA-6A729514FA89 訊息 :  等待產生 ISHIDA_RFD100.csv，1 ...
11:50:20 步驟 : 4 GUID : 101EF554-7075-4BAA-A8CA-6A729514FA89 訊息 :  等待產生 ISHIDA_RFD100.csv，2 ...
11:50:22 步驟 : 4 GUID : 101EF554-7075-4BAA-A8CA-6A729514FA89 訊息 :  等待產生 ISHIDA_RFD100.csv，3 ...
11:50:23 步驟 : 4 GUID : 101EF554-7075-4BAA-A8CA-6A729514FA89 訊息 :  等待產生 ISHIDA_RFD100.csv，4 ...
11:50:24 步驟 : 4 GUID : 101EF554-7075-4BAA-A8CA-6A729514FA89 訊息 :  等待產生 ISHIDA_RFD100.csv，5 ...
11:50:25 步驟 : 4 GUID : 101EF554-7075-4BAA-A8CA-6A729514FA89 訊息 :  等待產生 ISHIDA_RFD100.csv，6 ...
11:50:26 步驟 : 4 GUID : 101EF554-7075-4BAA-A8CA-6A729514FA89 訊息 :  等待產生 ISHIDA_RFD100.csv，7 ...
11:50:27 步驟 : 4 GUID : 101EF554-7075-4BAA-A8CA-6A729514FA89 訊息 :  等待產生 ISHIDA_RFD100.csv，8 ...
11:50:28 步驟 : 4 GUID : 101EF554-7075-4BAA-A8CA-6A729514FA89 訊息 :  等待產生 ISHIDA_RFD100.csv，9 ...
11:50:29 步驟 : 4 GUID : 101EF554-7075-4BAA-A8CA-6A729514FA89 訊息 :  等待產生 ISHIDA_RFD100.csv，10 ...
11:50:30 步驟 : 4 GUID : 101EF554-7075-4BAA-A8CA-6A729514FA89 訊息 :  等待產生 ISHIDA_RFD100.csv，11 ...
11:50:31 步驟 : 4 GUID : 101EF554-7075-4BAA-A8CA-6A729514FA89 訊息 :  等待產生 ISHIDA_RFD100.csv，12 ...
11:50:33 步驟 : 4 GUID : 101EF554-7075-4BAA-A8CA-6A729514FA89 訊息 :  等待產生 ISHIDA_RFD100.csv，13 ...
11:50:34 步驟 : 4 GUID : 101EF554-7075-4BAA-A8CA-6A729514FA89 訊息 :  等待產生 ISHIDA_RFD100.csv，14 ...
11:50:35 步驟 : 4 GUID : 101EF554-7075-4BAA-A8CA-6A729514FA89 訊息 :  等待產生 ISHIDA_RFD100.csv，15 ...
11:50:36 步驟 : 4 GUID : 101EF554-7075-4BAA-A8CA-6A729514FA89 訊息 :  等待產生 ISHIDA_RFD100.csv，16 ...
11:50:37 步驟 : 4 GUID : 101EF554-7075-4BAA-A8CA-6A729514FA89 訊息 :  等待產生 ISHIDA_RFD100.csv，17 ...
11:50:38 步驟 : 4 GUID : 101EF554-7075-4BAA-A8CA-6A729514FA89 訊息 :  等待產生 ISHIDA_RFD100.csv，18 ...
