16:52:11 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : args[0] = 172.20.22.100 ， args[1] = 2ad4a3e4-979b-4937-9ab4-0c049e28891a ， args[2] = 3 ， args[3] = 243180102，args[4] = 53790003-f14a-44e9-a1df-b542f664ad45
16:52:12^3^違反 PRIMARY KEY 條件約束 'PK_UDI_ORDER_1'。無法在物件 'ftp.UDI_ORDER' 中插入重複的索引鍵。重複的索引鍵值是 (2ad4a3e4-979b-4937-9ab4-0c049e28891a)。
違反 PRIMARY KEY 條件約束 'PK_UDI_PUT_1'。無法在物件 'ftp.UDI_PUT' 中插入重複的索引鍵。重複的索引鍵值是 (2ad4a3e4-979b-4937-9ab4-0c049e28891a, 1)。
陳述式已經結束。
陳述式已經結束。
16:52:12 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : Cannot find table 0.
16:53:34 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : args[0] = 172.20.22.100 ， args[1] = 2ad4a3e4-979b-4937-9ab4-0c049e28891a ， args[2] = 3 ， args[3] = 243180102，args[4] = 53790003-f14a-44e9-a1df-b542f664ad45
16:53:35 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 :  PC<->172.20.22.100
16:53:35 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 :  HST0124.TXT刪除完成
16:53:35 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 下傳 HST0124.TXT.tmp
16:53:35 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 :  下傳 HST0124.TXT.tmp 共花費:0 秒
16:53:35 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 :  HST0124.TXT下傳成功
16:53:44 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 下傳 LCU0301.TXT
16:53:44 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 :  下傳 LCU0301.TXT 共花費:0 秒
16:54:14 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 :  LCU0301.TXT 下載成功
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 1 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 2 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 3 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 4 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 5 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 6 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 7 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 8 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 9 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 10 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 11 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 12 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 13 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 14 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 15 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 16 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 17 筆資料
16:54:25 步驟 : 3 GUID : 2ad4a3e4-979b-4937-9ab4-0c049e28891a 訊息 : 寫入第 18 筆資料
